Player,Year,Position,Age,Team,G,MP,PER,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MPG,PPG,APG,RPG,TOPG,BPG,SPG, Salary17_18 ,Year_Start,Height,Weight,Birth_Date,College,Years_Played
A.J. Hammons,2017,C,24,DAL,22,163,8.4,17,42,41%,5,10,50%,12,32,38%,46%,9,20,45%,8,28,36,4,1,13,10,21,48,7.409090909,2.181818182,0.181818182,1.636363636,0.454545455,0.590909091,0.045454545,1312611,2017,198,260,27-Aug-92,Purdue University,1
Aaron Brooks,2017,PG,32,IND,65,894,9.5,121,300,40%,48,128,38%,73,172,42%,48%,32,40,80%,18,51,69,125,25,9,66,93,322,13.75384615,4.953846154,1.923076923,1.061538462,1.015384615,0.138461538,0.384615385,2116955,2008,183,161,14-Jan-85,University of Oregon,10
Aaron Gordon,2017,SF,21,ORL,80,2298,14.4,393,865,45%,77,267,29%,316,598,53%,50%,156,217,72%,116,289,405,150,64,40,89,172,1019,28.725,12.7375,1.875,5.0625,1.1125,0.5,0.8,5504420,2015,206,220,16-Sep-95,University of Arizona,3
Al-Farouq Aminu,2017,SF,26,POR,61,1773,11.3,183,466,39%,70,212,33%,113,254,45%,47%,96,136,71%,77,374,451,99,60,44,94,102,532,29.06557377,8.721311475,1.62295082,7.393442623,1.540983607,0.721311475,0.983606557,7319035,2011,206,220,21-Sep-90,Wake Forest University,7
Al Horford,2017,C,30,BOS,68,2193,17.7,379,801,47%,86,242,36%,293,559,52%,53%,108,135,80%,95,369,464,337,52,87,116,138,952,32.25,14,4.955882353,6.823529412,1.705882353,1.279411765,0.764705882,27734405,2008,208,245,3-Jun-86,University of Florida,10
Al Jefferson,2017,C,32,IND,66,931,18.9,235,471,50%,0,1,0%,235,470,50%,50%,65,85,77%,75,203,278,57,19,16,33,125,535,14.10606061,8.106060606,0.863636364,4.212121212,0.5,0.242424242,0.287878788,9769821,2005,208,289,4-Jan-85,,13
Alan Williams,2017,C,24,PHO,47,708,19.5,138,267,52%,0,1,0%,138,266,52%,52%,70,112,63%,94,198,292,23,27,32,37,125,346,15.06382979,7.361702128,0.489361702,6.212765957,0.787234043,0.680851064,0.574468085,6000000,2016,198,260,28-Jan-93,"University of California, Santa Barbara",2
Alec Burks,2017,SG,25,UTA,42,653,11.6,99,248,40%,25,76,33%,74,172,43%,45%,60,78,77%,17,103,120,30,18,5,35,50,283,15.54761905,6.738095238,0.714285714,2.857142857,0.833333333,0.119047619,0.428571429,10845506,2012,198,214,20-Jul-91,University of Colorado,6
Alex Abrines,2017,SG,23,OKC,68,1055,10.1,134,341,39%,94,247,38%,40,94,43%,53%,44,49,90%,18,68,86,40,37,8,33,114,406,15.51470588,5.970588235,0.588235294,1.264705882,0.485294118,0.117647059,0.544117647,5725000,2017,198,190,1-Aug-93,,1
Alex Len,2017,C,23,PHO,77,1560,15,230,463,50%,3,12,25%,227,451,50%,50%,150,208,72%,156,354,510,44,37,98,102,242,613,20.25974026,7.961038961,0.571428571,6.623376623,1.324675325,1.272727273,0.480519481,4187599,2014,216,260,16-Jun-93,University of Maryland,4
Alex Poythress,2017,PF,23,PHI,6,157,13.2,25,54,46%,6,19,32%,19,35,54%,52%,8,10,80%,11,18,29,5,3,2,3,14,64,26.16666667,10.66666667,0.833333333,4.833333333,0.5,0.333333333,0.5,778668,2017,201,238,6-Sep-93,University of Kentucky,1
Alexis Ajinca,2017,C,28,NOP,39,584,12.9,89,178,50%,0,4,0%,89,174,51%,50%,29,40,73%,46,131,177,12,20,22,31,77,207,14.97435897,5.307692308,0.307692308,4.538461538,0.794871795,0.564102564,0.512820513,4961798,2009,218,248,6-May-88,,9
Allen Crabbe,2017,SG,24,POR,79,2254,11.6,303,647,47%,134,302,44%,169,345,49%,57%,105,124,85%,19,206,225,93,54,20,62,171,845,28.53164557,10.69620253,1.17721519,2.848101266,0.784810127,0.253164557,0.683544304,19332500,2014,198,210,9-Apr-92,University of California,4
Amir Johnson,2017,PF,29,BOS,80,1608,15,213,370,58%,27,66,41%,186,304,61%,61%,67,100,67%,117,248,365,140,52,62,77,211,520,20.1,6.5,1.75,4.5625,0.9625,0.775,0.65,11000000,2006,206,240,1-May-87,,12
Anderson Varejao,2017,C,34,GSW,14,92,9.4,5,14,36%,0,0,NA,5,14,36%,36%,8,11,73%,12,15,27,10,3,3,8,16,18,6.571428571,1.285714286,0.714285714,1.928571429,0.571428571,0.214285714,0.214285714,1913345,2005,208,273,28-Sep-82,,13
Andre Drummond,2017,C,23,DET,81,2409,20.9,483,911,53%,2,7,29%,481,904,53%,53%,137,355,39%,345,771,1116,89,124,89,152,237,1105,29.74074074,13.64197531,1.098765432,13.77777778,1.87654321,1.098765432,1.530864198,23775506,2013,211,279,10-Aug-93,University of Connecticut,5
Andre Iguodala,2017,SF,33,GSW,76,1998,14.4,219,415,53%,64,177,36%,155,238,65%,61%,72,102,71%,51,253,304,262,76,39,58,97,574,26.28947368,7.552631579,3.447368421,4,0.763157895,0.513157895,1,14814815,2005,198,215,28-Jan-84,University of Arizona,13
Andre Roberson,2017,SF,25,OKC,79,2376,9.6,215,463,46%,45,184,25%,170,279,61%,51%,47,111,42%,98,304,402,79,94,79,51,204,522,30.07594937,6.607594937,1,5.088607595,0.64556962,1,1.189873418,9259259,2014,196,210,4-Dec-91,University of Colorado,4
